provinces;area;municipalities;wards;stations;
Eastern Cape;EC11: Willowmore;Dr Beyers Naude;009;Willowmore Sports Ground;
Eastern Cape;EC11: Willowmore;Dr Beyers Naude;008;Willowmore Town Hall;
Eastern Cape;EC11: Willowmore;Dr Beyers Naude;013;Fullarton Primary;
Eastern Cape;EC11: Willowmore;Dr Beyers Naude;008;Willowmore Secondary School;
Eastern Cape;EC11: Willowmore;Dr Beyers Naude;013;Morningside Community Hall;
Eastern Cape;EC11: Willowmore;Dr Beyers Naude;008;Rietbron Community Hall;
Eastern Cape;EC11: Willowmore;Dr Beyers Naude;013;Miller Congregational School;
Eastern Cape;EC11: Willowmore;Dr Beyers Naude;008;Fucc Primary School;
Eastern Cape;EC11: Willowmore;Dr Beyers Naude;008;Ucc Church School;
Eastern Cape;EC12: Joubertina;Kou-Kamma;003;Ravinia Community Hall;
Eastern Cape;EC12: Joubertina;Kou-Kamma;002;Coldstream Community Hall;
Eastern Cape;EC12: Joubertina;Kou-Kamma;001;V G Kerksaal;
Eastern Cape;EC12: Joubertina;Kou-Kamma;002;Krakeelrivier Community Hall;
Eastern Cape;EC12: Joubertina;Kou-Kamma;001;Proefplaas Hall;
Eastern Cape;EC12: Joubertina;Kou-Kamma;001;Louterwater Community Hall;
Eastern Cape;EC12: Joubertina;Kou-Kamma;003;Ngk Tweerivier Hall;
Eastern Cape;EC12: Joubertina;Kou-Kamma;002;Langkloof United Congregational Church;
Eastern Cape;EC12: Joubertina;Kou-Kamma;002;Farm Brandhoek School;
Eastern Cape;EC12: Joubertina;Kou-Kamma;002;Oudrif Landgoed Pty Ltd;
Eastern Cape;EC13: Steytlerville;Dr Beyers Naude;012;Steytlerville Town Hall;
Eastern Cape;EC13: Steytlerville;Dr Beyers Naude;013;Tom Kasibe Primary School;
Eastern Cape;EC13: Steytlerville;Dr Beyers Naude;012;Sandkraal;
Eastern Cape;EC13: Steytlerville;Dr Beyers Naude;013;Drie Kuilen School;
Eastern Cape;EC13: Steytlerville;Dr Beyers Naude;013;Beulah School;
Eastern Cape;EC13: Steytlerville;Dr Beyers Naude;012;Steytlerville Show Ground;
Eastern Cape;EC13: Steytlerville;Dr Beyers Naude;012;The Old Post Office;
Eastern Cape;EC14: Kareedouw;Kou-Kamma;004;Kagiso Heights Hall;
Eastern Cape;EC14: Kareedouw;Kou-Kamma;006;Sanddrif Community Hall;
Eastern Cape;EC14: Kareedouw;Kou-Kamma;005;Gustav Reichel School;
Eastern Cape;EC14: Kareedouw;Kou-Kamma;006;Storms River Community Hall;
Eastern Cape;EC14: Kareedouw;Kou-Kamma;005;Die Stal Hall;
Eastern Cape;EC14: Kareedouw;Kou-Kamma;005;Clarkson Community Hall;
Eastern Cape;EC14: Kareedouw;Kou-Kamma;004;Jagersbos Stoor;
Eastern Cape;EC14: Kareedouw;Kou-Kamma;004;Essenbos Farm;
Eastern Cape;EC14: Kareedouw;Kou-Kamma;006;Tsitsikamma National Park;
Eastern Cape;EC14: Kareedouw;Kou-Kamma;005;Woodlands Community Hall;
Eastern Cape;EC14: Kareedouw;Kou-Kamma;004;Church Hill Dam;
Eastern Cape;EC14: Kareedouw;Kou-Kamma;003;Tea Enterprises;
Eastern Cape;EC15: Jansenville;Dr Beyers Naude;011;Jansenville Town Hall;
Eastern Cape;EC15: Jansenville;Dr Beyers Naude;011;Tp Mejane Memorial Hall;
Eastern Cape;EC15: Jansenville;Dr Beyers Naude;010;Prinsvale;
Eastern Cape;EC15: Jansenville;Dr Beyers Naude;012;Waterford;
Eastern Cape;EC15: Jansenville;Dr Beyers Naude;012;Skilpadfontein Shed;
Eastern Cape;EC15: Jansenville;Dr Beyers Naude;010;Ratelskloof Farmshed;
Eastern Cape;EC15: Jansenville;Dr Beyers Naude;010;Klipplaat Town Hall;
Eastern Cape;EC15: Jansenville;Dr Beyers Naude;012;Wolwefontein Community Hall;
Eastern Cape;EC16: Hankey;Kouga;009;Vuzumzi Landu Hall;
Eastern Cape;EC16: Hankey;Kouga;013;Weston Community Hall;
Eastern Cape;EC16: Hankey;Kouga;009;Hankey Civic Centre;
Eastern Cape;EC16: Hankey;Kouga;013;Ethembeni- Vuyo Katoo Community Creche;
Eastern Cape;EC16: Hankey;Kouga;013;Laerskool Gamtoosvallei;
Eastern Cape;EC16: Hankey;Kouga;010;Dan Sandi Community Hall;
Eastern Cape;EC16: Hankey;Kouga;010;Cockscombe Primary School;
Eastern Cape;EC16: Hankey;Kouga;010;Andrieskraal Hall;
Eastern Cape;EC16: Hankey;Kouga;010;Quagga Primary School;
Eastern Cape;EC16: Hankey;Kouga;009;M And N Kleinfontein Boerdery;
Eastern Cape;EC16: Hankey;Kouga;007;Loerie Heuwel Community Hall;
Eastern Cape;EC16: Hankey;Kouga;007;Katrina Felix Community Hall;
Eastern Cape;EC16: Hankey;Kouga;007;Rooidraai Creche;
Eastern Cape;EC16: Hankey;Kouga;013;Ex Enathi Farm;
Eastern Cape;EC16: Hankey;Kouga;007;Highlands Farm;
Eastern Cape;EC16: Hankey;Kouga;007;Longmore Community Hall;
Eastern Cape;EC16: Hankey;Kouga;007;Mondplaas Primary School;
Eastern Cape;EC17: Humansdorp;Kouga;005;Kruisfontein Civic Centre;
Eastern Cape;EC17: Humansdorp;Kouga;015;Country Club Hall;
Eastern Cape;EC17: Humansdorp;Kouga;004;Kruisfontein Primary School;
Eastern Cape;EC17: Humansdorp;Kouga;015;St Patricks Primary School;
Eastern Cape;EC17: Humansdorp;Kouga;006;Lungiso Public School;
Eastern Cape;EC17: Humansdorp;Kouga;005;Vaaldam Community Creche;
Eastern Cape;EC17: Humansdorp;Kouga;006;Mzingisi Primary School;
Eastern Cape;EC17: Humansdorp;Kouga;012;St Francis Bay Village Hall;
Eastern Cape;EC17: Humansdorp;Kouga;001;Sea Vista Community Hall A;
Eastern Cape;EC17: Humansdorp;Kouga;001;Oysterbay Hall;
Eastern Cape;EC17: Humansdorp;Kouga;012;Vangelist Apostilic Church;
Eastern Cape;EC17: Humansdorp;Kouga;001;Leeubos Farm;
Eastern Cape;EC17: Humansdorp;Kouga;001;Kokkiewiet Creche;
Eastern Cape;EC18: Jeffreys Bay;Kouga;003;Kabeljous Beach Park Tent (Tecoma Street);
Eastern Cape;EC18: Jeffreys Bay;Kouga;011;Newton Hall;
